number,created_at,closed_at
4161,2020-01-16T18:15:12Z,2020-01-16T20:42:57Z
4162,2020-01-16T23:38:24Z,2020-01-17T00:40:47Z
4163,2020-01-17T13:28:47Z,2020-01-20T12:41:11Z
4164,2020-01-20T08:07:56Z,2020-01-24T06:21:36Z
4165,2020-01-20T18:27:24Z,2020-01-20T20:03:31Z
4167,2020-01-23T22:24:11Z,2020-01-27T22:13:27Z
4169,2020-01-31T07:55:10Z,2020-01-31T08:11:04Z
4170,2020-02-02T04:58:32Z,2020-02-26T16:27:56Z
4176,2020-02-06T04:37:16Z,2020-03-24T05:20:59Z
4177,2020-02-07T09:38:23Z,2020-03-24T05:21:15Z
4178,2020-02-07T22:21:38Z,2020-02-07T22:34:22Z
4179,2020-02-08T05:31:04Z,2020-02-08T06:32:40Z
4180,2020-02-08T11:08:09Z,2020-02-08T13:51:01Z
4182,2020-02-09T10:17:48Z,2020-02-09T13:43:52Z
4183,2020-02-11T16:17:31Z,2020-02-11T20:02:36Z
4184,2020-02-13T23:07:30Z,2020-02-15T22:00:40Z
4191,2020-02-18T05:58:25Z,2020-02-20T01:34:57Z
4193,2020-02-21T14:08:37Z,2020-02-21T14:52:23Z
4198,2020-02-25T10:14:35Z,2020-02-25T14:09:21Z
4199,2020-02-25T19:14:13Z,2020-02-25T19:27:52Z
4200,2020-02-26T09:51:58Z,2020-02-26T16:24:15Z
4203,2020-03-02T09:44:18Z,2020-03-02T20:00:35Z
4206,2020-03-06T09:05:43Z,2020-03-06T09:38:07Z
4209,2020-03-08T16:54:51Z,2020-03-08T20:35:25Z
4214,2020-03-13T11:26:49Z,2020-03-13T13:58:14Z
4216,2020-03-14T23:17:15Z,2020-03-14T23:22:13Z
4218,2020-03-15T15:31:16Z,2020-03-15T19:42:42Z
4219,2020-03-16T07:11:13Z,2020-03-16T17:57:46Z
4220,2020-03-17T12:58:49Z,2020-03-19T12:35:37Z
4221,2020-03-17T21:13:14Z,2020-03-17T21:21:17Z
4225,2020-03-24T10:53:35Z,2020-03-24T12:54:53Z
4226,2020-03-24T15:28:22Z,2020-03-24T15:34:45Z
4227,2020-03-29T05:37:55Z,2020-03-29T09:49:25Z
4228,2020-03-30T20:06:41Z,2020-03-31T12:14:34Z
4229,2020-04-01T01:36:00Z,2020-04-01T01:59:44Z
4230,2020-04-01T07:02:01Z,2020-04-09T18:33:18Z
4232,2020-04-04T17:38:37Z,2020-04-05T02:25:13Z
4233,2020-04-06T05:10:05Z,2020-04-06T07:00:04Z
4234,2020-04-06T19:48:37Z,2020-04-06T19:53:28Z
4235,2020-04-07T14:21:56Z,2020-04-07T14:47:28Z
4236,2020-04-08T16:09:13Z,2020-04-09T18:29:55Z
4237,2020-04-08T18:52:48Z,2020-04-25T00:46:03Z
4238,2020-04-09T17:04:27Z,2020-04-09T17:09:22Z
4242,2020-04-18T00:20:23Z,2020-04-18T00:41:01Z
4244,2020-04-21T12:56:30Z,2020-04-21T13:24:20Z
4245,2020-04-21T15:13:13Z,2020-04-21T15:16:12Z
4246,2020-04-22T12:44:27Z,2020-04-22T13:35:12Z
4247,2020-04-22T12:51:42Z,2020-04-22T13:22:22Z
4248,2020-04-24T00:41:35Z,2020-04-24T00:44:26Z
4249,2020-04-24T01:16:24Z,2020-04-24T02:53:16Z
4250,2020-04-24T07:24:41Z,2020-04-26T02:04:42Z
4252,2020-04-24T20:14:01Z,2020-04-24T20:23:28Z
4254,2020-04-26T06:38:36Z,2020-04-26T07:38:46Z
4255,2020-04-26T09:24:16Z,2020-04-26T22:08:32Z
4256,2020-04-26T13:12:08Z,2020-04-26T20:01:06Z
4257,2020-04-27T09:06:24Z,2020-04-27T12:03:04Z
4258,2020-04-28T00:25:09Z,2020-04-28T01:19:00Z
4259,2020-04-28T12:02:49Z,2020-04-28T20:56:14Z
4260,2020-04-28T14:12:41Z,2020-04-28T16:41:43Z
4263,2020-05-01T15:16:21Z,2020-05-01T15:37:59Z
4265,2020-05-04T01:24:48Z,2020-05-04T11:37:48Z
4266,2020-05-05T19:22:50Z,2020-05-05T19:44:47Z
4267,2020-05-07T14:42:10Z,2020-05-07T18:56:37Z
4268,2020-05-08T00:02:48Z,2020-05-08T01:00:02Z
4270,2020-05-08T12:21:42Z,2020-05-08T15:05:56Z
4271,2020-05-08T12:45:00Z,2020-05-10T12:11:54Z
4273,2020-05-11T04:29:34Z,2020-05-13T20:31:24Z
4275,2020-05-13T01:14:26Z,2020-05-13T02:16:45Z
4278,2020-05-15T02:59:11Z,2020-05-16T12:59:45Z
4279,2020-05-15T23:18:45Z,2020-05-17T02:52:44Z
4283,2020-05-17T11:53:07Z,2020-05-17T16:03:50Z
4284,2020-05-18T11:29:05Z,2020-05-18T11:32:42Z
4288,2020-05-20T12:56:37Z,2020-05-21T05:04:09Z
