number,created_at,closed_at
30109,2019-02-07T23:04:15Z,2019-02-08T22:38:53Z
30110,2019-02-07T23:30:28Z,2019-05-26T17:28:25Z
30114,2019-02-08T13:18:37Z,2019-02-13T07:28:12Z
30115,2019-02-08T13:31:39Z,2019-02-08T13:41:36Z
30117,2019-02-08T15:03:28Z,2019-02-08T15:09:00Z
30118,2019-02-08T16:40:51Z,2019-04-06T13:04:09Z
30121,2019-02-08T19:15:41Z,2019-02-11T07:58:28Z
30123,2019-02-09T07:34:50Z,2019-08-14T13:35:31Z
30125,2019-02-09T10:12:26Z,2019-02-09T10:21:07Z
30127,2019-02-09T19:07:22Z,2019-02-09T20:50:22Z
30129,2019-02-09T21:53:21Z,2019-02-15T09:54:29Z
30133,2019-02-11T09:50:27Z,2019-02-18T09:52:54Z
30134,2019-02-11T10:52:14Z,2019-02-12T22:46:16Z
30135,2019-02-11T11:16:23Z,2019-02-11T11:28:48Z
30137,2019-02-11T12:00:24Z,2019-02-21T10:52:32Z
30138,2019-02-11T12:01:13Z,2019-02-19T08:58:49Z
30140,2019-02-11T15:07:50Z,2019-02-16T17:23:21Z
30141,2019-02-11T16:15:54Z,2019-11-05T20:00:20Z
30145,2019-02-11T22:26:23Z,2019-04-06T18:41:52Z
30146,2019-02-11T23:26:09Z,2019-02-21T07:00:52Z
30147,2019-02-12T08:04:45Z,2019-02-24T16:59:57Z
30148,2019-02-12T09:44:23Z,2019-02-21T08:59:32Z
30149,2019-02-12T10:00:22Z,2019-02-12T19:46:25Z
30150,2019-02-12T10:01:09Z,2019-09-26T22:10:19Z
30151,2019-02-12T10:01:52Z,2019-02-14T11:56:41Z
30152,2019-02-12T10:02:33Z,2019-02-13T09:38:09Z
30153,2019-02-12T10:03:08Z,2019-03-14T10:49:48Z
30154,2019-02-12T10:03:48Z,2019-02-12T19:48:30Z
30155,2019-02-12T10:04:17Z,2019-08-09T09:44:30Z
30156,2019-02-12T10:05:53Z,2019-02-12T19:44:51Z
30158,2019-02-12T10:09:48Z,2019-02-20T07:23:45Z
30159,2019-02-12T10:10:33Z,2019-02-12T19:51:36Z
30161,2019-02-12T10:12:36Z,2019-02-13T09:39:42Z
30162,2019-02-12T10:13:10Z,2019-02-13T07:08:59Z
30163,2019-02-12T10:13:49Z,2019-10-04T08:18:33Z
30164,2019-02-12T10:16:10Z,2019-02-12T12:41:47Z
30165,2019-02-12T10:16:41Z,2019-02-12T19:43:35Z
30166,2019-02-12T10:18:23Z,2019-11-08T08:34:25Z
30167,2019-02-12T10:18:58Z,2019-02-23T10:14:27Z
30168,2019-02-12T10:19:32Z,2019-02-12T19:50:01Z
30169,2019-02-12T10:20:08Z,2019-08-18T17:10:12Z
30170,2019-02-12T10:20:36Z,2019-02-12T19:55:24Z
30171,2019-02-12T10:21:09Z,2019-02-12T19:41:44Z
30172,2019-02-12T10:21:47Z,2019-02-16T11:44:28Z
30173,2019-02-12T10:22:19Z,2019-02-16T11:46:04Z
30174,2019-02-12T10:22:44Z,2019-02-25T15:33:26Z
30175,2019-02-12T10:23:18Z,2020-02-08T10:44:46Z
30176,2019-02-12T10:23:52Z,2019-10-08T09:17:35Z
30177,2019-02-12T10:24:19Z,2019-02-12T20:01:11Z
30178,2019-02-12T10:24:55Z,2020-05-19T16:39:26Z
30179,2019-02-12T10:25:28Z,2019-02-18T12:31:59Z
30180,2019-02-12T10:25:53Z,2019-02-12T19:40:54Z
30181,2019-02-12T10:26:24Z,2019-02-12T12:46:07Z
30182,2019-02-12T10:26:59Z,2019-02-20T07:24:10Z
30183,2019-02-12T10:27:33Z,2019-02-16T11:48:06Z
30184,2019-02-12T10:27:59Z,2019-02-12T19:58:24Z
30185,2019-02-12T10:28:25Z,2019-08-09T09:16:51Z
30186,2019-02-12T10:28:49Z,2019-11-30T08:21:26Z
30187,2019-02-12T10:29:17Z,2019-02-13T07:06:31Z
30188,2019-02-12T10:29:47Z,2019-08-10T05:35:17Z
30189,2019-02-12T10:30:26Z,2019-02-23T17:15:14Z
30190,2019-02-12T10:30:59Z,2019-03-11T06:45:53Z
30191,2019-02-12T10:31:27Z,2019-10-04T13:03:47Z
30192,2019-02-12T10:31:49Z,2019-04-17T15:38:19Z
30193,2019-02-12T10:32:21Z,2019-02-12T19:53:38Z
30194,2019-02-12T10:32:47Z,2019-02-13T07:38:27Z
30195,2019-02-12T10:33:15Z,2019-03-27T06:16:37Z
30196,2019-02-12T10:33:53Z,2019-03-05T09:59:13Z
30197,2019-02-12T10:34:25Z,2019-12-28T15:12:29Z
30211,2019-02-12T16:38:55Z,2019-02-13T11:05:25Z
30218,2019-02-12T21:53:39Z,2019-03-31T10:08:48Z
30221,2019-02-13T07:40:54Z,2020-02-05T16:52:43Z
30222,2019-02-13T08:01:09Z,2019-08-06T06:42:06Z
30226,2019-02-13T10:41:54Z,2019-02-13T11:49:44Z
30228,2019-02-13T14:18:32Z,2019-02-14T10:22:41Z
30235,2019-02-14T04:13:24Z,2019-02-15T18:48:48Z
30240,2019-02-14T12:16:26Z,2019-02-14T12:49:35Z
30250,2019-02-15T07:23:02Z,2019-02-25T10:24:42Z
30252,2019-02-15T10:41:08Z,2019-03-04T16:55:02Z
30253,2019-02-15T10:43:00Z,2019-02-18T11:47:30Z
30256,2019-02-15T13:09:50Z,2019-02-25T09:32:50Z
30259,2019-02-15T14:09:45Z,2019-05-26T17:18:32Z
30260,2019-02-15T15:56:27Z,2019-02-16T18:46:21Z
30263,2019-02-15T17:13:49Z,2019-07-13T14:31:58Z
30268,2019-02-16T10:49:45Z,2019-02-17T09:55:56Z
